customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,1214.54,Yes
CUST-00001,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),66.37,1597.06,No
CUST-00002,Male,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,35.55,2136.36,No
CUST-00003,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,483.38,No
CUST-00004,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,70.42,2318.68,No
CUST-00005,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.29,219.52,Yes
CUST-00006,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.38,2097.77,Yes
CUST-00007,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,43.71,302.81,Yes
CUST-00008,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.61,794.2,No
CUST-00009,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.7,1575.47,Yes
CUST-00010,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.41,1917.24,No
CUST-00011,Male,0,Yes,No,67,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,49.24,3279.88,No
CUST-00012,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.31,2576.89,No
CUST-00013,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),81.08,4385.04,No
CUST-00014,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.34,952.77,No
